idx,title,link
1,A Chat with Andrew on MLOps: From Model-centric to Data-centric AI,https://www.youtube.com/watch?v=06-AZXmwHjo&t=399s
2, Alphafold explained,https://www.youtube.com/watch?v=B9PL__gVxLI&t=2217s
